Constituency,State,Party
AJMER,Rajasthan,Aam Aadmi Party
ALWAR,Rajasthan,All India Anna Dravida Munnetra Kazhagam
AMBALA,Haryana,All India Majlis-E-Ittehadul Muslimeen
ANANTNAG-RAJOURI,Jammu & Kashmir,All India Trinamool Congress
ARAKKONAM,Tamil Nadu,Amma Makkal Munnettra Kazagam
ARANI,Tamil Nadu,Apna Dal (Soneylal)
Adilabad,Telangana,Assam Jatiya Parishad
Agra,Uttar Pradesh,Bharat Rashtra Samith
Ahmedabad East,Gujarat,Bharatiya Janata Party
Ahmedabad West,Gujarat,Biju Janata Dal
Ahmednagar,Maharashtra,Bodoland Peoples Front
Akbarpur,Uttar Pradesh,Citizen Action Party-Sikkim
Akola,Maharashtra,Communist Party of India (Marxist)
Alappuzha,Kerala,Desiya Murpokku Dravida Kazhagam
Alathur,Kerala,Independent
Aligarh,Uttar Pradesh,Indian National Congress
Alipurduars,West Bengal,Jammu & Kashmir National Conference
Allahabad,Uttar Pradesh,Jammu & Kashmir Peoples Democratic Party
Almora,Uttarakhand,Janata Dal (Secular)
Amalapuram (SC),Andhra Pradesh,Kerala Congress (M)
Ambedkar Nagar,Uttar Pradesh,Mizo National Front
Amethi,Uttar Pradesh,National People's Party
Amravati,Maharashtra,Nationalist Congress Party
Amreli,Gujarat,Nationalist Congress Party – Sharadchandra Pawar
Amritsar,Punjab,Nationalist Democratic Progressive Party
Amroha,Uttar Pradesh,Pattali Makkal Katch
Anakapalle,Andhra Pradesh,Rashtriya Janata Dal
Anand,Gujarat,Samajwadi Party
Anandpur Sahib,Punjab,Shiv Sena
Ananthapur,Andhra Pradesh,Shiv Sena (Uddhav Balasaheb Thackrey)
Andaman & Nicobar Islands,Andaman and Nicobar Islands,Telugu Desam
Aonla,Uttar Pradesh,Vikassheel Insaan Party
Araku (ST),Andhra Pradesh,Yuvajana Sramika Rythu Congress Party
Arambagh,West Bengal,
Araria,Bihar,
Arrah,Bihar,
Arunachal East,Arunachal Pradesh,
Arunachal West,Arunachal Pradesh,
Asansol,West Bengal,
Aska,Odisha,
Attingal,Kerala,
Aurangabad,Maharashtra,
Aurangabad,Bihar,
Azamgarh,Uttar Pradesh,
BALAGHAT,Madhya Pradesh,
BANSWARA,Rajasthan,
BARAMULLA,Jammu & Kashmir,
BARMER,Rajasthan,
BASTAR,Chhattisgarh,
BETUL,Madhya Pradesh,
BHARATPUR,Rajasthan,
BHILWARA,Rajasthan,
BHIND,Madhya Pradesh,
BHIWANI-MAHENDRAGARH,Haryana,
BHOPAL,Madhya Pradesh,
BIKANER,Rajasthan,
BILASPUR,Chhattisgarh,
Badaun,Uttar Pradesh,
Bagalkot,Karnataka,
Baghpat,Uttar Pradesh,
Baharaich,Uttar Pradesh,
Baharampur,West Bengal,
Balasore,Odisha,
Ballia,Uttar Pradesh,
Balurghat,West Bengal,
Banaskantha,Gujarat,
Banda,Uttar Pradesh,
Bangalore North,Karnataka,
Bangalore Rural,Karnataka,
Bangalore South,Karnataka,
Bangalore central,Karnataka,
Bangaon,West Bengal,
Banka,Bihar,
Bankura,West Bengal,
Bansgaon,Uttar Pradesh,
Bapatla (SC),Andhra Pradesh,
Barabanki,Uttar Pradesh,
Baramati,Maharashtra,
Barasat,West Bengal,
Bardhaman Purba,West Bengal,
Bardhaman-Durgapur,West Bengal,
Bardoli,Gujarat,
Bareilly,Uttar Pradesh,
Bargarh,Odisha,
Barpeta,Assam,
Barrackpur,West Bengal,
Basirhat,West Bengal,
Basti,Uttar Pradesh,
Bathinda,Punjab,
Beed,Maharashtra,
Begusarai,Bihar,
Belgaum,Karnataka,
Bellary,Karnataka,
Berhampur,Odisha,
Bhadohi,Uttar Pradesh,
Bhadrak,Odisha,
Bhagalpur,Bihar,
Bhandara Gondiya,Maharashtra,
Bharuch,Gujarat,
Bhavnagar,Gujarat,
Bhiwandi,Maharashtra,
Bhongir,Telangana,
Bhubaneswar,Odisha,
Bidar,Karnataka,
Bijapur,Karnataka,
Bijnor,Uttar Pradesh,
Birbhum,West Bengal,
Bishnupur,West Bengal,
Bolangir,Odisha,
Bolpur,West Bengal,
Bulandshahr,Uttar Pradesh,
Buldhana,Maharashtra,
Buxar,Bihar,
CHENNAI CENTRAL,Tamil Nadu,
CHENNAI NORTH,Tamil Nadu,
CHENNAI SOUTH,Tamil Nadu,
CHHINDWARA,Madhya Pradesh,
CHIDAMBARAM,Tamil Nadu,
CHITTORGARH,Rajasthan,
CHURU,Rajasthan,
COIMBATORE,Tamil Nadu,
CUDDALORE,Tamil Nadu,
Chalakudy,Kerala,
Chamarajanagar,Karnataka,
Chandauli,Uttar Pradesh,
Chandigarh,Chandigarh,
Chandni Chowk,Delhi,
Chandrapur,Maharashtra,
Chatra,Jharkhand,
Chevella,Telangana,
Chhota Udaipur,Gujarat,
Chikkballapur,Karnataka,
Chikkodi,Karnataka,
Chitradurga,Karnataka,
Chittoor(SC),Andhra Pradesh,
Coochbehar,West Bengal,
Cuttack,Odisha,
DAMOH,Madhya Pradesh,
DAUSA,Rajasthan,
DEWAS,Madhya Pradesh,
DHAR,Madhya Pradesh,
DHARMAPURI,Tamil Nadu,
DINDIGUL,Tamil Nadu,
DURG,Chhattisgarh,
Dadar & Nagar Haveli,Dadar and Nagar Haveli,
Dahod,Gujarat,
Dakshina Kannada,Karnataka,
Daman & Diu,Daman and Diu,
Darbhanga,Bihar,
Darjeeling,West Bengal,
Darrang-Udalguri,Assam,
Davanagere,Karnataka,
Deoria,Uttar Pradesh,
Dhanbad,Jharkhand,
Dharwad,Karnataka,
Dhaurahra,Uttar Pradesh,
Dhenkanal,Odisha,
Dhubri,Assam,
Dhule,Maharashtra,
Diamond harbour,West Bengal,
Dibrugarh,Assam,
Dindori,Madhya Pradesh,
Diphu,Assam,
Domariyaganj,Uttar Pradesh,
Dum dum,West Bengal,
Dumka,Jharkhand,
ERODE,Tamil Nadu,
East Delhi,Delhi,
Eluru,Andhra Pradesh,
Ernakulam,Kerala,
Etah,Uttar Pradesh,
Etawah,Uttar Pradesh,
FARIDABAD,Haryana,
Faizabad,Uttar Pradesh,
Faridkot,Punjab,
Farrukhabad,Uttar Pradesh,
Fatehgarh Sahib,Punjab,
Fatehpur,Uttar Pradesh,
Fatehpur Sikri,Uttar Pradesh,
Firozabad,Uttar Pradesh,
Firozpur,Punjab,
GANGANAGAR,Rajasthan,
GUNA,Madhya Pradesh,
GURGAON,Haryana,
GWALIOR,Madhya Pradesh,
Gadchiroli - Chimur,Maharashtra,
Gandhinagar,Gujarat,
Garhwal,Uttarakhand,
Gautam Buddha Nagar,Uttar Pradesh,
Gaya,Bihar,
Ghatal,West Bengal,
Ghaziabad,Uttar Pradesh,
Ghazipur,Uttar Pradesh,
Ghosi,Uttar Pradesh,
Giridih,Jharkhand,
Godda,Jharkhand,
Gonda,Uttar Pradesh,
Gopalganj,Bihar,
Gorakhpur,Uttar Pradesh,
Gulbarga,Karnataka,
Guntur,Andhra Pradesh,
Gurdaspur,Punjab,
Guwahati,Assam,
HAMIRPUR,Uttar Pradesh,
HISAR,Haryana,
HOSHANGABAD,Madhya Pradesh,
Hajipur,Bihar,
Hamirpur,Uttar Pradesh,
Hardoi,Uttar Pradesh,
Haridwar,Uttarakhand,
Hassan,Karnataka,
Hathras,Uttar Pradesh,
Hatkanangale,Maharashtra,
Haveri,Karnataka,
Hazaribagh,Jharkhand,
Hindupur,Andhra Pradesh,
Hingoli,Maharashtra,
Hooghly,West Bengal,
Hoshiarpur,Punjab,
Howrah,West Bengal,
Hyderabad,Telangana,
INDORE,Madhya Pradesh,
Idukki,Kerala,
Inner Manipur,Manipur,
JABALPUR,Madhya Pradesh,
JAIPUR,Rajasthan,
JAIPUR RURAL,Rajasthan,
JALORE,Rajasthan,
JAMMU,Jammu & Kashmir,
JANJGIR-CHAMPA,Chhattisgarh,
JHALAWAR-BARAN,Rajasthan,
JHUNJHUNU,Rajasthan,
JODHPUR,Rajasthan,
Jadavpur,West Bengal,
Jagatsinghpur,Odisha,
Jahanabad,Bihar,
Jajpur,Odisha,
Jalandhar,Punjab,
Jalaun,Uttar Pradesh,
Jalgaon,Maharashtra,
Jalna,Maharashtra,
Jalpaiguri,West Bengal,
Jamnagar,Gujarat,
Jamshedpur,Jharkhand,
Jamui,Bihar,
Jangipur,West Bengal,
Jaunpur,Uttar Pradesh,
Jhanjharpur,Bihar,
Jhansi,Uttar Pradesh,
Jhargram,West Bengal,
Jorhat,Assam,
Joynagar,West Bengal,
Junagadh,Gujarat,
KALLAKURICHI,Tamil Nadu,
KANCHEEPURAM,Tamil Nadu,
KANGRA,Himachal Pradesh,
KANKER,Chhattisgarh,
KANNIYAKUMARI,Tamil Nadu,
KARAULI-DHOLPUR,Rajasthan,
KARNAL,Haryana,
KARUR,Tamil Nadu,
KHAJURAHO,Madhya Pradesh,
KHANDWA,Madhya Pradesh,
KHARGONE,Madhya Pradesh,
KORBA,Chhattisgarh,
KOTA,Rajasthan,
KRISHNAGIRI,Tamil Nadu,
KURUKSHETRA,Haryana,
Kachchh,Gujarat,
Kadapa,Andra Pradesh,
Kairana, Uttar Pradesh,
Kaiserganj, Uttar Pradesh,
Kakinada, Andra Pradesh,
Kalahandi, Odisha,
Kalyan,Maharashtra,
Kandhamal,Odisha,
Kannauj,Uttar Pradesh,
Kannur,Kerala,
Kanpur,Uttar Pradesh,
Kanthi,West Bengal,
Karakat,Bihar,
Karimganj,Assam,
Karimnagar, Telangana,
Kasaragod, Kerala,
Katihar, Bihar,
Kaushambi, Uttar Pradesh,
Kaziranga, Assam,
Kendrapara, Odisha,
Keonjhar, Odisha,
Khadoor Sahib, Punjab,
Khagaria, Bihar,
Khammam, Telangana,
Kheda, Gujarat,
Kheri, Uttar Pradesh,
Khunti, Jharkhand,
Kishanganj, Bihar,
Kodarma, Jharkhand,
Kokrajhar, Assam,
Kolar, Karnataka,
Kolhapur, Maharashtra,
Kolkata Dakshin, West Bengal,
Kolkata Uttar, West Bengal,
Kollam, Kerala,
Koppal, Karnataka,
Koraput, Odisha,
Kottayam, Kerala,
Kozhikode, Kerala,
Krishnanagar,West Bengal,
Kurnoolu,Andhra Pradesh,
Kushi Nagar,Uttar Pradesh,
Ladakh,Ladakh,
Lakhimpur,Uttar Pradesh,
Lakshadweep,Lakshadweep,
Lalganj,Uttar Pradesh,
Latur,Maharashtra,
Lohardaga,Jharkhand,
Lucknow,Uttar Pradesh,
Ludhiana,Punjab,
MADURAI,Tamil Nadu,
MAHASAMUND,Chhattisgarh,
MANDI,Himachal Pradesh,
MANDLA,Madhya Pradesh,
MANDSOUR,Madhya Pradesh,
MAYILADUTHURAI,Tamil Nadu,
MIZORAM,Mizoram,
MORENA,Madhya Pradesh,
Machhlishahr,Uttar Pradesh,
Machilipatnam,Andhra Pradesh,
Madha,Maharashtra,
Madhepura,Bihar,
Madhubani,Bihar,
Mahabubabad,Telangana,
Maharajganj,Uttar Pradesh,
Maharajganj,Uttar Pradesh,
Mahbubnagar,Telangana,
Mahesana,Gujarat,
Mainpuri,Uttar Pradesh,
Malappuram,Kerala,
Maldaha Dakshin,West Bengal,
Maldaha Uttar,West Bengal,
Malkajgiri,Telangana,
Mandya,Karnataka,
Mathura,Uttar Pradesh,
Mathurapur,West Bengal,
Maval,Maharashtra,
Mavelikkara,Kerala,
Mayurbhanj,Odisha,
Medak,Telangana,
Medinipur,West Bengal,
Meerut,Uttar Pradesh,
Mirzapur,Uttar Pradesh,
Misrikh,Uttar Pradesh,
Mohanlalganj,Uttar Pradesh,
Moradabad,Uttar Pradesh,
Mumbai North,Maharashtra,
Mumbai North Central,Maharashtra,
Mumbai North East,Maharashtra,
Mumbai North West,Maharashtra,
Mumbai South,Maharashtra,
Mumbai South Central,Maharashtra,
Munger,Bihar,
Murshidabad,West Bengal,
Muzaffarnagar,Uttar Pradesh,
Muzaffarpur,Bihar,
Mysore,Karnataka,
NAGAPATTINAM,Tamil Nadu,
NAGAUR,Rajasthan,
NAMAKKAL,Tamil Nadu,
NILGIRIS,Tamil Nadu,
Nabarangpur,Odisha,
Nagaland,Nagaland,
Nagaon,Assam,
Nagarkurnool,Telangana,
Nagina,Uttar Pradesh,
Nagpur,Maharashtra,
Nainital-Udhamsingh Nagar,Uttarakhand,
Nalanda,Bihar,
Nalgonda,Telangana,
Nanded,Maharashtra,
Nandurbar,Maharashtra,
Nandyal,Andhra Pradesh,
Narsapuram,Andhra Pradesh,
Narsaraopet,Andhra Pradesh,
Nashik,Maharashtra,
Navsari,Gujarat,
Nawada,Bihar,
Nellore,Andhra Pradesh,
New Delhi,Delhi,
Nizamabad,Telangana,
North Goa,Goa,
North-East Delhi,Delhi,
North-West Delhi,Delhi,
Ongole,Andhra Pradesh,
Osmanabad,Maharashtra,
Outer Manipur,Manipur,
PALI,Rajasthan,
PERAMBALUR,Tamil Nadu,
POLLACHI,Tamil Nadu,
PUDUCHERRY,Puducherry,
Palakkad,Kerala,
Palamau,Jharkhand,
Palghar,Maharashtra,
Panchmahal,Gujarat,
Parbhani,Maharashtra,
Paschim Champaran,Bihar,
Patan,Gujarat,
Pathanamthitta,Kerala,
Patiala,Punjab,
Patliputra,Bihar,
Patna Sahib,Bihar,
Peddapalle,Telangana,
Phulpur,Uttar Pradesh,
Pilibhit,Uttar Pradesh,
Ponnani,Kerala,
Porbandar,Gujarat,
Pratapgarh,Uttar Pradesh,
Pune,Maharashtra,
Puri,Odisha,
Purnia,Bihar,
Purulia,West Bengal,
Purvi Champaran,Bihar,
RAIGARH,Chhattisgarh,
RAIPUR,Chhattisgarh,
RAJGARH,Madhya Pradesh,
RAJNANDGAON,Chhattisgarh,
RAJSAMAND,Rajasthan,
RAMANATHAPURAM,Tamil Nadu,
RATLAM,Madhya Pradesh,
REWA,Madhya Pradesh,
ROHTAK,Haryana,
Rae Bareli,Uttar Pradesh,
Raichur,Karnataka,
Raigad,Maharashtra,
Raiganj,West Bengal,
Rajahmundry,Andhra Pradesh,
Rajampet,Andhra Pradesh,
Rajkot,Gujarat,
Rajmahal,Jharkhand,
Rampur,Uttar Pradesh,
Ramtek,Maharashtra,
Ranaghat,West Bengal,
Ranchi,Jharkhand,
Ratnagiri- Sindhudurg,Maharashtra,
Raver,Maharashtra,
Robertsganj,Uttar Pradesh,
SAGAR,Madhya Pradesh,
SALEM,Tamil Nadu,
SATNA,Madhya Pradesh,
SHAHDOL,Madhya Pradesh,
SHIMLA,Himachal Pradesh,
SIDHI,Madhya Pradesh,
SIKAR,Rajasthan,
SIRSA,Haryana,
SIVAGANGA,Tamil Nadu,
SONIPAT,Haryana,
SRINAGAR,Jammu & Kashmir,
SRIPERUMBUDUR,Tamil Nadu,
SURGUJA,Chhattisgarh,
Sabarkantha,Gujarat,
Saharanpur,Uttar Pradesh,
Salempur,Uttar Pradesh,
Samastipur,Bihar,
Sambalpur,Odisha,
Sambhal,Uttar Pradesh,
Sangli,Maharashtra,
Sangrur,Punjab,
Sant Kabir Nagar,Uttar Pradesh,
Saran,Bihar,
Sasaram,Bihar,
Satara,Maharashtra,
Secunderabad,Telangana,
Shahjahanpur,Uttar Pradesh,
Sheohar,Bihar,
Shillong,Meghalaya,
Shimoga,Karnataka,
Shirdi,Maharashtra,
Shirur,Maharashtra,
Shrawasti,Uttar Pradesh,
Sikkim,Sikkim,
Silchar,Assam,
Singhbhum,Jharkhand,
Sitamarhi,Bihar,
Sitapur,Uttar Pradesh,
Siwan,Bihar,
Solapur,Maharashtra,
Sonitpur,Assam,
South Delhi,Delhi,
South Goa,Goa,
Srerampur,West Bengal,
Srikakulam,Andhra Pradesh,
Sultanpur,Uttar Pradesh,
Sundargarh,Odisha,
Supaul,Bihar,
Surat,Gujarat,
Surendranagar,Gujarat,
TENKASI,Tamil Nadu,
THANJAVUR,Tamil Nadu,
THENI,Tamil Nadu,
THOOTHUKKUDI,Tamil Nadu,
TIKAMGARH,Madhya Pradesh,
TIRUCHIRAPPALLI,Tamil Nadu,
TIRUNELVELI,Tamil Nadu,
TIRUPPUR,Tamil Nadu,
TIRUVALLUR,Tamil Nadu,
TIRUVANNAMALAI,Tamil Nadu,
TONK-SAWAI MADHOPUR,Rajasthan,
Tamluk,West Bengal,
Tehri Garhwal,Uttarakhand,
Thane,Maharashtra,
Thirupathi(SC),Andhra Pradesh,
Thiruvananthapuram,Kerala,
Thrissur,Kerala,
Tripura East,Tripura,
Tripura West,Tripura,
Tumkur,Karnataka,
Tura,Meghalaya,
UDAIPUR,Rajasthan,
UDHAMPUR,Jammu & Kashmir,
UJJAIN,Madhya Pradesh,
Udupi Chikmagalur,Karnataka,
Ujiarpur,Bihar,
Uluberia,West Bengal,
Unnao,Uttar Pradesh,
Uttara Kannada,Karnataka,
VELLORE,Tamil Nadu,
VIDISHA,Madhya Pradesh,
VILUPPURAM,Tamil Nadu,
VIRUDHUNAGAR,Tamil Nadu,
Vadakara,Kerala,
Vadodara,Gujarat,
Vaishali,Bihar,
Valmiki Nagar,Bihar,
Valsad,Gujarat,
Varanasi,Uttar Pradesh,
Vijayawada,Andhra Pradesh,
Visakhapatnam,Andhra Pradesh,
Vizianagaram,Andhra Pradesh,
Warangal,Telangana,
Wardha,Maharashtra,
Wayanad,Kerala,
West Delhi,Delhi,
Yavatmal- Washim,Maharashtra,
Zahirabad,Telangana,
